Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
27,1.0,0.0,0.0,348.0,7.0,85.0,1190.0,0.0,413.0909999999996,0.0,0.0,204.1694827079773,,,,,,,,,,,,,,,,,,,,,160.84718396230494,82.65070080357135,281.98234224266974,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,411.0,8.0,63.0,1253.0,0.0,303.06900000000013,0.0,0.0,210.35771918296814,,,,,,,,,,,,,,,,,,,,,126.34735370464062,67.41238008203207,228.00751674938923,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,438.0,9.0,27.0,1280.0,0.0,122.03399999999998,0.0,0.0,213.2897436618805,,,,,,,,,,,,,,,,,,,,,57.90204372169324,32.84772220141563,108.5608082799131,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,469.0,10.0,31.0,1311.0,0.0,143.03700000000006,0.0,0.0,216.93050861358643,,,,,,,,,,,,,,,,,,,,,66.87249759454126,37.65120641291925,124.78984363400899,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,501.0,11.0,32.0,1343.0,0.0,148.0380000000001,0.0,0.0,220.4522647857666,,,,,,,,,,,,,,,,,,,,,68.91581066176472,38.7502329841928,128.5429451976689,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,522.0,12.0,21.0,1364.0,0.0,93.02699999999996,0.0,0.0,222.90607357025146,,,,,,,,,,,,,,,,,,,,,45.76848362948059,25.897735678385644,85.1092933759913,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,580.0,13.0,58.0,1422.0,0.0,278.0640000000002,0.0,0.0,228.79957127571106,,,,,,,,,,,,,,,,,,,,,117.82287164809729,63.41661263531272,213.98503667391446,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,613.0,14.0,33.0,1455.0,0.0,152.0400000000001,0.0,0.0,232.8039734363556,,,,,,,,,,,,,,,,,,,,,70.25061157668611,39.61838062967983,131.4736232830258,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,665.0,15.0,52.0,1507.0,0.0,242.06400000000016,0.0,0.0,238.38167691230774,,,,,,,,,,,,,,,,,,,,,104.62897230934423,56.13744218566195,191.46713029195075,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,699.0,16.0,34.0,1541.0,0.0,156.04200000000012,0.0,0.0,241.98755955696106,,,,,,,,,,,,,,,,,,,,,71.59137589636089,40.46091966805727,134.37499458752913,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
