Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
41,2.0,0.0,0.0,83.0,1.0,83.0,1850.0,0.0,410.0819999999994,0.0,0.0,344.15275025367737,,,,,,,,,,,,,,,,,,,,,162.5560068232522,80.70912819608814,280.74738734486334,5.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,110.0,2.0,27.0,1877.0,0.0,115.04099999999994,0.0,0.0,347.1008117198944,,,,,,,,,,,,,,,,,,,,,54.05925532033598,30.29726906319596,102.48444144833108,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,173.0,3.0,63.0,1940.0,0.0,297.0750000000003,0.0,0.0,353.6107831001282,,,,,,,,,,,,,,,,,,,,,122.39112595825328,66.83621877241913,224.43484404275117,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,231.0,4.0,58.0,1998.0,0.0,276.0660000000002,0.0,0.0,359.4567642211914,,,,,,,,,,,,,,,,,,,,,116.45176494383884,63.26351579204731,212.75785770081976,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,261.0,5.0,30.0,2028.0,0.0,137.03700000000003,0.0,0.0,362.65038990974426,,,,,,,,,,,,,,,,,,,,,64.12955157230371,36.29388165440309,120.1899138131914,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,284.0,6.0,23.0,2051.0,0.0,103.02899999999997,0.0,0.0,365.25482177734375,,,,,,,,,,,,,,,,,,,,,50.08437813088401,28.368270833051348,93.36760843780908,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,381.0,7.0,97.0,2148.0,0.0,473.1029999999993,0.0,0.0,374.81270265579224,,,,,,,,,,,,,,,,,,,,,177.77710501820368,89.5536651481894,306.7638079097462,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,427.0,8.0,46.0,2194.0,0.0,217.05300000000017,0.0,0.0,379.4498875141144,,,,,,,,,,,,,,,,,,,,,95.53301094908834,52.774852563112546,176.62260479891788,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,476.0,9.0,49.0,2243.0,0.0,234.05400000000017,0.0,0.0,384.3963804244995,,,,,,,,,,,,,,,,,,,,,102.50268799327661,55.74093122244083,187.5601294595393,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,554.0,10.0,78.0,2321.0,0.0,377.0849999999998,0.0,0.0,392.1861069202423,,,,,,,,,,,,,,,,,,,,,149.72422706379953,78.1957013859205,265.58524935234806,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,569.0,11.0,15.0,2336.0,0.0,70.014,0.0,0.0,394.02551007270813,,,,,,,,,,,,,,,,,,,,,37.86680883031538,19.557127250223083,65.64021903423395,5.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,590.0,12.0,21.0,2357.0,0.0,91.02899999999997,0.0,0.0,396.6198706626892,,,,,,,,,,,,,,,,,,,,,44.56143871963382,25.181901979389384,83.32935197314244,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
